Date (GMT),Open,High,Low,Last,Volume,Volume,BBandUp,BBandMid,BBandLow
12/25/2020 16:30,24025.13,24296.5,24014.95,24280,1886.7168,1886.7168,24739.9107,24091.74665,23443.5826
12/25/2020 17:00,24279.87,24298.82,24003,24080,2302.8458,2302.8458,24704.40084,24090.62792,23476.855
12/25/2020 17:30,24080,24175.01,23987.16,24156.09,1606.9387,1606.9387,24657.65966,24096.86241,23536.06515
12/25/2020 18:00,24156.08,24265.77,24111.36,24185.61,1243.1343,1243.1343,24626.55442,24105.31456,23584.0747
12/25/2020 18:30,24185.62,24236.79,24155,24199.15,1046.8329,1046.8329,24613.46727,24114.25127,23615.03526
12/25/2020 19:00,24199.15,24427.64,24136.84,24354.97,1618.4771,1618.4771,24592.63978,24137.17686,23681.71394
12/25/2020 19:30,24355.17,24406.98,24294.9,24356.35,1167.1949,1167.1949,24586.45192,24158.05049,23729.64906
12/25/2020 20:00,24356.35,24520,24315,24449.63,2047.38,2047.38,24598.64816,24185.81997,23772.99178
12/25/2020 20:30,24449.66,24474.13,24353.35,24407.31,985.9324,985.9324,24595.47988,24206.91426,23818.34863
12/25/2020 21:00,24407.32,24490.28,24351.47,24455.05,954.6138,954.6138,24598.32139,24230.54623,23862.77108
12/25/2020 21:30,24455.05,24456.9,24198.6,24294.82,1258.3579,1258.3579,24600.1885,24236.66754,23873.14659
12/25/2020 22:00,24294.83,24429.76,24267.93,24419.39,641.7753,641.7753,24581.09442,24254.06968,23927.04495
12/25/2020 22:30,24419.6,24520,24368.47,24517.81,851.3097,851.3097,24602.1593,24279.18781,23956.21632
12/25/2020 23:00,24517.82,24650,24452.27,24585.26,1855.9854,1855.9854,24649.24626,24308.33754,23967.42882
12/25/2020 23:30,24585.25,24789.86,24511.58,24652.63,2831.455,2831.455,24707.78157,24341.1273,23974.47303
12/26/2020 0:00,24652.63,24730.98,24550.86,24708.08,1381.9396,1381.9396,24778.14433,24376.07518,23974.00602
12/26/2020 0:30,24712.47,24785.81,24555.27,24644.68,1670.1996,1670.1996,24827.37209,24401.65659,23975.94108
12/26/2020 1:00,24644.68,24649.78,24519.86,24610,903.6287,903.6287,24833.84358,24421.49882,24009.15406
12/26/2020 1:30,24610,24619.5,24500,24586.02,933.5134,933.5134,24837.05708,24437.1675,24037.27792
12/26/2020 2:00,24586.02,24932.16,24575.01,24907.78,2817.2604,2817.2604,24901.94489,24481.98774,24062.03059
12/26/2020 2:30,24907.78,24976,24750,24852.3,2226.3429,2226.3429,24968.5476,24517.25557,24065.96355
12/26/2020 3:00,24852.3,24909.48,24785.78,24836.17,1211.8232,1211.8232,24985.20604,24547.62838,24110.05072
12/26/2020 3:30,24836.79,25027.5,24815.52,24887.7,2218.9941,2218.9941,25014.39114,24580.01615,24145.64116
12/26/2020 4:00,24887.69,25039.96,24845.73,24906.33,1724.7431,1724.7431,25038.11016,24611.09366,24184.07716
12/26/2020 4:30,24906.33,24914.42,24745.41,24849.99,1581.8082,1581.8082,25035.51574,24633.84569,24232.17565
12/26/2020 5:00,24849.99,24920,24801,24810.05,811.0315,811.0315,25041.41455,24650.62705,24259.83956
12/26/2020 5:30,24810.06,24843.44,24661.3,24743.27,1503.9564,1503.9564,25029.62404,24659.45019,24289.27634
12/26/2020 6:00,24740.84,24798.66,24679.64,24710,1279.5611,1279.5611,25022.6648,24664.26446,24305.86412
12/26/2020 6:30,24709.89,24817.14,24652.54,24744.48,1001.4327,1001.4327,25011.65705,24671.90403,24332.15102
12/26/2020 7:00,24744.48,24868.98,24706.16,24830.74,687.9143,687.9143,25015.66177,24687.03127,24358.40077
12/26/2020 7:30,24830.75,24933,24768.36,24909.02,756.188,756.188,24992.18656,24708.17305,24424.15955
12/26/2020 8:00,24909.03,24909.03,24715.91,24784.48,880.0174,880.0174,24965.85077,24715.44038,24465.02999
12/26/2020 8:30,24784.48,24970.83,24754.16,24949.46,1132.0125,1132.0125,24976.76568,24737.72796,24498.69025
12/26/2020 9:00,24949.46,25000,24850,24917.62,1356.9951,1356.9951,24984.40797,24754.86054,24525.31311
12/26/2020 9:30,24917.62,24917.62,24726.36,24733.49,1426.0958,1426.0958,24979.49883,24752.82525,24526.15167
12/26/2020 10:00,24733.48,24899.1,24725,24858.07,1063.6164,1063.6164,24985.39653,24762.84856,24540.30059
12/26/2020 10:30,24858.08,24899.1,24790,24811.9,794.1109,794.1109,24980.75365,24767.52013,24554.2866
12/26/2020 11:00,24811.9,24814.5,24562.5,24732.06,1918.4479,1918.4479,24969.49196,24764.14297,24558.79398
12/26/2020 11:30,24732.07,24826.53,24706.16,24825.61,1212.3662,1212.3662,24953.38162,24769.99697,24586.61233
12/26/2020 12:00,24825.6,24887.17,24791.23,24844.85,963.4868,963.4868,24944.19742,24777.12583,24610.05425
12/26/2020 12:30,24844.84,24888.41,24773,24801.93,1004.4024,1004.4024,24940.84297,24779.48813,24618.1333
12/26/2020 13:00,24801.93,24948.7,24734.94,24892.06,1312.9644,1312.9644,24946.08963,24790.20926,24634.3289
12/26/2020 13:30,24892.06,24969.86,24809.49,24871.81,1274.4203,1274.4203,24945.36969,24797.98076,24650.59184
12/26/2020 14:00,24871.81,24987.34,24840.25,24941.05,1448.1625,1448.1625,24956.27552,24811.6064,24666.93729
12/26/2020 14:30,24941.05,25280,24882.55,25228.54,4307.1541,4307.1541,25075.94086,24851.31437,24626.68787
12/26/2020 15:00,25228.54,25434.03,25174.48,25381.03,3161.8632,3161.8632,25228.29966,24901.76347,24575.22729
12/26/2020 15:30,25381.11,25462.33,25339.18,25444.32,2720.3904,2720.3904,25362.69315,24953.43552,24544.1779
12/26/2020 16:00,25444.33,25673.52,25410,25623.13,3973.8314,3973.8314,25527.27173,25017.21595,24507.16018
12/26/2020 16:30,25626.02,25945.01,25575,25707.48,5448.0671,5448.0671,25686.76207,25082.95538,24479.1487
12/26/2020 17:00,25707.25,25900,25640,25861.13,2822.0231,2822.0231,25871.87603,25157.06725,24442.25848
12/26/2020 17:30,25861.13,26000,25751.27,25816.3,3423.1052,3423.1052,26013.15665,25219.85132,24426.546
12/26/2020 18:00,25816.3,25889.77,25674.87,25787.57,2206.6325,2206.6325,26108.87854,25273.91977,24438.961
12/26/2020 18:30,25787.57,25859,25690.15,25746.88,1263.5567,1263.5567,26190.00465,25318.9636,24447.92255
12/26/2020 19:00,25746.89,25784.87,25580.58,25619.24,1615.0668,1615.0668,26224.47265,25347.56135,24470.65005
12/26/2020 19:30,25619.24,25770,25590,25746.34,1303.5413,1303.5413,26253.03677,25385.54027,24518.04377
12/26/2020 20:00,25746.33,25932.05,25717.41,25932.05,1596.8979,1596.8979,26326.56811,25437.58882,24548.60952
12/26/2020 20:30,25932.14,25999,25810.56,25968.96,2120.5331,2120.5331,26381.79986,25488.1956,24594.59133
12/26/2020 21:00,25968.96,26485,25900.01,26413.82,4823.5014,4823.5014,26523.73937,25576.3503,24628.96123
12/26/2020 21:30,26415,26662,26332.57,26541.58,5094.7594,5094.7594,26677.27858,25668.27694,24659.27529
12/26/2020 22:00,26541.58,26867.03,26487.38,26702.18,4998.1221,4998.1221,26838.36426,25766.7439,24695.12353
12/26/2020 22:30,26702.18,26799.8,25842,26450.01,3782.5968,3782.5968,26875.68903,25831.81686,24787.94469
12/26/2020 23:00,26449.99,26576.78,26226.53,26417.09,2055.6814,2055.6814,26889.40277,25887.55716,24885.71155
12/26/2020 23:30,26417.08,26660,26390.33,26571.79,1720.381,1720.381,26903.55032,25952.72219,25001.89406
12/27/2020 0:00,26571.79,26634.61,26362.26,26487.96,1700.2998,1700.2998,26874.93504,26003.69722,25132.4594
12/27/2020 0:30,26493.4,26684.68,26488.41,26629,1895.4793,1895.4793,26907.54418,26063.24987,25218.95555
12/27/2020 1:00,26629,26850,26628.99,26759.36,3435.8585,3435.8585,26971.42097,26129.54607,25287.67117
12/27/2020 1:30,26759.36,26963.46,26701.3,26835.5,2843.6168,2843.6168,27036.42094,26196.77978,25357.13861
12/27/2020 2:00,26836.49,26933.27,26503.87,26621.52,3329.324,3329.324,27056.25696,26237.23123,25418.2055
12/27/2020 2:30,26621.51,26859.5,26574.72,26781.03,2816.3066,2816.3066,27104.48343,26289.02159,25473.55974
12/27/2020 3:00,26781.04,26783.69,26500,26574,2089.4735,2089.4735,27116.66155,26316.16239,25515.66322
12/27/2020 3:30,26574.52,26649.5,26510.08,26642.78,1276.8453,1276.8453,27124.93651,26347.26883,25569.60114
12/27/2020 4:00,26642.78,26642.79,26427.16,26566.97,1643.2131,1643.2131,27106.18003,26368.19275,25630.20546
12/27/2020 4:30,26566.97,26804.45,26566.96,26791.88,1240.6341,1240.6341,27103.21637,26408.54391,25713.87146
